WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
D8:38:FC:48:60:29,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-90,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:48:60:28,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-89,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:0A:2A:08,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,11,-90,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:8A:2A:08,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,11,-89,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:CA:2A:08,DWW-SFS,[WEP][ESS],2023-3-5 2:25:26,11,-92,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:0A:2A:09,DWW-BC,[WEP][ESS],2023-3-5 2:25:26,11,-88,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:4A:2A:09,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,11,-93,33.887713,-118.029552,28.4,178,WIFI
04:18:D6:C2:29:AF,DWW-IT-WiFi-Extender,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-84,33.887693,-118.029543,27.5,90,WIFI
B0:39:56:A7:00:DD,Frontier8212,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-91,33.887693,-118.029543,27.5,90,WIFI
00:80:AE:C0:83:81,hug2g843283,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-81,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:C8:60:28,DWW-SFS,[WEP][ESS],2023-3-5 2:25:29,1,-91,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:60:29,DWW-BC,[WEP][ESS],2023-3-5 2:25:29,1,-91,33.887693,-118.029543,27.5,90,WIFI
E8:48:B8:10:DC:34,TP-Link_DC34,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,2,-77,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:60:28,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-91,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:88:60:28,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-90,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:48:60:29,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:5C:F8,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,4,-86,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:88:5C:F8,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,4,-88,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:C8:5C:F8,DWW-SFS,[WEP][ESS],2023-3-5 2:25:29,4,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:5C:F9,DWW-BC,[WEP][ESS],2023-3-5 2:25:29,4,-85,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:48:5C:F9,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,4,-86,33.887693,-118.029543,27.5,90,WIFI
00:04:F3:1A:96:80,xbee-0004F31A9680,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,6,-82,33.887693,-118.029543,27.5,90,WIFI
68:FF:7B:72:94:04,TP-LINK_Smart Plug_9404,84:A0:6E:CA:13:16,Affluent-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,6,-70,33.887693,-118.029543,27.5,90,WIFI
D8:0D:17:C5:5C:0E,TP-LINK_Smart Plug_5C0E,B8:66:85:CD:4A:E6,MySpectrumWiFie0-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,6,-78,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:5C:88,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,7,-88,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:88:5C:88,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,7,-88,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:5C:89,DWW-BC,[WEP][ESS],2023-3-5 2:25:29,7,-89,33.887693,-118.029543,27.5,90,WIFI
E6:CB:BC:91:97:63,smll,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-74,33.887693,-118.029543,27.5,90,WIFI
